  3000.062  26.1  -7.888   0.240    3.91E+08
  3000.242  26.1  -7.476   0.283    1.05E+09
  3000.291  26.1  -7.511   0.284    1.18E+08
  3000.384  26.1  -7.430   0.225    8.16E+08
  3000.543  27.0  -7.655   0.284    1.10E+08
  3000.863  20.0  -7.355   0.306    1.58E+08
  3000.866  22.0  -7.484   0.278    3.26E+07
  3000.882  24.0  -7.562   0.284    1.64E+08
  3000.948  26.0  -7.695   0.264    2.02E+08
  3001.132  26.1  -7.440   0.221    9.08E+08
  3001.401  26.1  -7.435   0.227    8.08E+08
  3001.595  26.1  -7.441   0.221    8.97E+08
  3001.971  26.1  -7.445   0.224    9.20E+08
  3002.321  26.1  -7.791   0.197    3.19E+08
  3002.417  26.1  -7.931   0.212    4.31E+08
  3002.450  26.1  -7.914   0.382    4.66E+08
  3002.485  28.0  -7.756   0.246    1.40E+08
  3002.641  26.1  -7.425   0.233    8.89E+08
  3002.646  26.1  -7.776   0.206    3.16E+08
  3003.101  26.1  -7.931   0.212    4.31E+08
  3003.406  26.1  -7.581   0.291    1.13E+09
  3003.621  28.0  -7.747   0.246    1.18E+08
  3003.889  26.1  -7.434   0.224    7.93E+08
  3004.257  26.1  -7.888   0.238    3.93E+08
  3004.436  26.1  -7.395   0.278    1.04E+09
  3004.974  26.1  -7.562   0.286    1.06E+09
  3005.058  24.0  -7.558   0.285    1.78E+08
  3005.376  26.1  -7.931   0.201    5.02E+08
  3005.492  26.1  -7.554   0.287    1.11E+09
  3005.648  26.1  -7.543   0.284    1.17E+08
  3006.110  26.1  -7.539   0.277    1.11E+09
  3006.242  26.1  -7.931   0.201    5.02E+08
  3006.858  26.1  -7.580   0.288    1.11E+09
  3006.861  20.0  -7.353   0.306    1.60E+08
  3007.078  26.1  -7.505   0.289    1.00E+09
  3007.282  26.0  -7.663   0.272    6.47E+06
  3007.586  26.1  -7.933   0.198    5.67E+08
  3007.650  25.0  -7.589   0.240    1.16E+08
  3007.760  26.1  -7.501   0.282    1.03E+09
  3007.945  26.1  -7.437   0.223    7.40E+08
  3007.948  26.1  -7.440   0.229    7.40E+08
  3008.140  26.0  -7.694   0.264    2.04E+08
  3008.375  26.1  -7.593   0.332    2.22E+08
  3009.093  26.0  -7.637   0.246    1.19E+08
  3009.148  26.1  -7.890   0.267    4.04E+08
  3009.206  20.0  -7.355   0.306    1.59E+08
  3009.267  26.1  -7.439   0.227    7.49E+08
  3009.463  26.1  -7.678   0.373    7.32E+08
  3009.569  26.0  -7.507   0.296    5.99E+08
  3009.601  26.1  -7.680   0.217    4.00E+08
  3009.880  26.1  -7.683   0.221    4.00E+08
  3010.138  26.1  -7.443   0.222    9.30E+08
  3010.216  26.1  -7.419   0.233    7.14E+08
  3010.225  26.1  -7.531   0.293    9.64E+08
  3010.462  26.1  -7.890   0.267    4.04E+08
  3010.638  26.1  -7.892   0.216    3.29E+08
  3010.832  26.1  -7.439   0.227    1.00E+09
  3011.163  25.0  -7.590   0.240    1.12E+08
  3011.341  26.1  -7.933   0.198    5.67E+08
  3011.372  25.0  -7.590   0.240    1.12E+08
  3011.482  26.0  -7.788   0.255    5.81E+07
  3011.502  26.1  -7.932   0.206    5.03E+08
  3011.539  26.1  -7.435   0.216    9.05E+08
  3011.541  26.1  -7.519   0.265    9.05E+08
  3011.859  26.1  -7.552   0.283    1.03E+09
  3012.001  28.0  -7.713   0.250    2.13E+08
  3012.113  26.1  -7.550   0.283    9.34E+08
  3012.210  26.1  -7.933   0.198    5.67E+08
  3012.595  26.1  -7.889   0.238    3.99E+08
  3013.379  26.1  -7.505   0.289    4.17E+08
  3013.589  27.0  -7.675   0.281    1.39E+08
  3013.608  26.1  -7.478   0.282    1.12E+09
  3013.673  26.1  -7.553   0.289    1.02E+09
  3013.699  24.0  -7.572   0.281    1.80E+08
  3013.796  26.1  -7.892   0.217    3.29E+08
  3014.255  26.1  -7.445   0.225    9.19E+08
  3014.579  26.1  -7.873   0.213    7.29E+08
  3014.747  26.1  -7.492   0.283    5.45E+08
  3014.959  26.1  -7.541   0.282    1.10E+09
  3015.003  26.1  -7.440   0.226    7.42E+08
  3015.196  24.0  -7.574   0.280    4.06E+08
  3015.368  21.0  -7.542   0.251    1.68E+08
  3015.378  26.1  -7.554   0.290    9.80E+08
  3015.557  26.1  -7.434   0.225    7.77E+08
  3015.635  16.0  -7.432   0.257    8.60E+08
  3015.796  26.1  -7.534   0.284    1.14E+09
  3015.854  26.1  -7.393   0.283    9.43E+08
  3015.913  26.1  -7.873   0.213    7.29E+08
  3015.921  26.0  -7.634   0.247    1.19E+08
  3016.182  26.0  -7.491   0.294    5.99E+08
  3016.453  25.0  -7.590   0.239    1.06E+08
  3016.539  26.1  -7.531   0.293    9.55E+08
  3016.885  26.1  -7.563   0.285    1.11E+09
  3016.934  26.1  -7.678   0.373    6.26E+08
  3017.257  26.1  -7.559   0.288    5.07E+08
  3017.316  26.1  -7.593   0.332    2.23E+08
  3017.542  27.0  -7.659   0.282    1.59E+08
  3017.627  26.0  -7.695   0.264    2.02E+08
  3018.136  26.0  -7.638   0.246    1.69E+08
  3018.213  26.1  -7.894   0.225    3.32E+08
  3018.566  26.1  -7.520   0.293    1.00E+09
  3018.678  26.1  -7.873   0.213    7.29E+08
  3018.983  26.0  -7.500   0.295    6.01E+08
  3019.118  26.1  -7.549   0.288    1.01E+09
  3019.143  28.0  -7.781   0.252    1.20E+08
  3019.223  26.1  -7.439   0.225    1.01E+09
  3019.299  26.1  -7.792   0.198    3.19E+08
  3019.351  21.0  -7.539   0.251    1.64E+08
  3019.384  26.1  -7.435   0.222    7.79E+08
  3019.467  26.1  -7.933   0.193    6.08E+08
  3019.798  26.1  -7.778   0.216    2.91E+08
  3019.861  26.1  -7.395   0.279    1.04E+09
  3020.009  26.1  -7.893   0.238    4.00E+08
  3020.262  26.1  -7.932   0.206    5.04E+08
  3020.330  26.1  -7.435   0.223    7.79E+08
  3020.495  26.0  -7.699   0.263    1.97E+08
  3020.643  26.0  -7.711   0.259    1.97E+08
  3020.666  24.0  -7.574   0.280    4.06E+08
  3021.073  26.0  -7.704   0.261    1.99E+08
  3021.162  26.1  -7.539   0.289    1.02E+09
  3021.386  26.1  -7.894   0.227    3.32E+08
  3021.417  26.1  -7.894   0.211    3.07E+08
  3021.556  24.0  -7.562   0.283    3.92E+08
  3021.595  26.1  -7.923   0.249    5.40E+08
  3021.619  26.1  -7.427   0.231    8.74E+08
  3021.663  26.1  -7.923   0.249    6.36E+08
  3021.743  26.1  -7.475   0.349    3.04E+08
  3021.930  26.1  -7.436   0.224    8.09E+08
  3021.969  26.1  -7.538   0.282    1.03E+09
  3022.278  26.1  -7.560   0.286    9.85E+08
  3023.251  26.1  -7.933   0.193    6.08E+08
  3023.441  26.1  -7.559   0.288    5.20E+08
  3023.726  26.1  -7.505   0.288    9.98E+08
  3023.834  26.1  -7.892   0.233    2.94E+08
  3024.033  26.0  -7.663   0.272    6.47E+06
  3024.334  24.0  -7.572   0.280    1.80E+08
  3024.609  26.1  -7.488   0.280    4.93E+08
  3024.708  26.1  -7.678   0.373    6.26E+08
  3025.536  26.1  -7.679   0.218    4.00E+08
  3025.618  26.1  -7.557   0.288    1.87E+08
  3025.843  26.0  -7.695   0.264    2.02E+08
  3025.986  26.1  -7.891   0.232    2.94E+08
  3026.461  26.0  -7.494   0.294    5.98E+08
  3026.747  26.1  -7.560   0.295    1.06E+09
  3026.907  26.1  -7.531   0.292    9.59E+08
  3026.934  26.1  -7.565   0.285    5.87E+08
  3027.155  26.1  -7.441   0.280    9.35E+08
  3027.380  26.1  -7.784   0.202    3.62E+08
  3027.490  26.1  -7.888   0.275    4.72E+08
  3027.637  26.1  -7.554   0.292    9.53E+08
  3027.953  26.1  -7.435   0.223    7.76E+08
  3027.960  26.1  -7.472   0.284    1.08E+09
  3028.225  26.1  -7.576   0.285    1.23E+09
  3028.262  26.1  -7.435   0.225    8.11E+08
  3028.877  26.1  -7.538   0.289    1.10E+09
  3029.160  24.0  -7.573   0.279    1.90E+08
  3029.192  26.1  -7.557   0.289    1.05E+09
  3029.204  26.1  -7.935   0.224    1.05E+09
  3029.569  26.1  -7.771   0.188    2.86E+08
  3029.691  26.1  -7.894   0.230    3.35E+08
  3030.100  26.1  -7.540   0.290    1.00E+09
  3030.243  24.0  -7.570   0.280    4.01E+08
  3030.323  26.1  -7.427   0.223    7.95E+08
  3030.606  26.1  -7.561   0.285    1.01E+09
  3030.757  21.0  -7.542   0.250    1.68E+08
